Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
AMZN231208P00152500,2023-12-08 9:31AM EST,152.5,6.35,5.85,6.0,0.63,+11.01%,12.0,121,49.61%,Put,2023-12-08,118
AMZN231208P00155000,2023-12-08 9:44AM EST,155.0,8.49,8.35,8.5,-0.05,-0.59%,6.0,34,53.13%,Put,2023-12-08,119
AMZN231208P00160000,2023-12-08 10:34AM EST,160.0,13.4,13.35,13.5,0.45,+3.47%,6.0,21,77.73%,Put,2023-12-08,121
AMZN231208P00165000,2023-12-07 10:03AM EST,165.0,19.01,18.25,18.4,0.0,-,6.0,0,85.94%,Put,2023-12-08,123
AMZN231208P00185000,2023-12-08 10:00AM EST,185.0,38.8,38.25,38.4,-0.5,-1.27%,25.0,0,159.38%,Put,2023-12-08,130
AMZN231208P00190000,2023-12-08 10:00AM EST,190.0,43.8,43.25,43.45,-1.95,-4.26%,25.0,0,211.72%,Put,2023-12-08,131
AMZN231215C00075000,2023-12-07 2:53PM EST,75.0,71.8,71.6,71.85,0.0,-,173.0,3937,197.66%,Call,2023-12-15,134
AMZN231215C00080000,2023-12-01 2:07PM EST,80.0,66.78,66.35,67.1,0.0,-,137.0,183,180.47%,Call,2023-12-15,135
AMZN231215C00085000,2023-12-07 11:48AM EST,85.0,62.13,61.5,62.05,0.0,-,12.0,76,172.27%,Call,2023-12-15,136
AMZN231215C00095000,2023-12-07 10:44AM EST,95.0,52.08,51.6,51.8,0.0,-,5.0,303,129.10%,Call,2023-12-15,138
AMZN231215C00110000,2023-12-08 10:40AM EST,110.0,36.3,36.6,36.85,-1.32,-3.51%,4.0,2969,92.77%,Call,2023-12-15,142
AMZN231215C00113000,2023-12-01 10:08AM EST,113.0,34.0,33.5,34.05,0.0,-,5.0,5,90.04%,Call,2023-12-15,145
AMZN231215C00117000,2023-12-06 1:43PM EST,117.0,28.56,29.5,29.9,-0.04,-0.14%,9594.0,1278,72.46%,Call,2023-12-15,149
AMZN231215C00118000,2023-12-06 10:39AM EST,118.0,27.81,28.6,28.85,0.0,-,5.0,1307,72.66%,Call,2023-12-15,150
AMZN231215C00120000,2023-12-08 10:48AM EST,120.0,26.57,26.6,26.8,-0.2,-0.75%,145.0,42979,65.23%,Call,2023-12-15,152
AMZN231215C00125000,2023-12-08 10:53AM EST,125.0,21.75,21.65,21.85,-0.05,-0.23%,39.0,7232,57.72%,Call,2023-12-15,156
AMZN231215C00126000,2023-12-08 10:21AM EST,126.0,20.45,20.5,20.95,-0.46,-2.20%,8.0,14,53.52%,Call,2023-12-15,157
AMZN231215C00128000,2023-12-07 3:16PM EST,128.0,18.93,18.6,18.8,0.0,-,5.0,21,53.42%,Call,2023-12-15,159
AMZN231215C00130000,2023-12-08 10:38AM EST,130.0,16.4,16.75,16.9,-0.58,-3.42%,135.0,31445,52.83%,Call,2023-12-15,161
AMZN231215C00131000,2023-12-08 10:34AM EST,131.0,15.72,15.7,16.15,-0.58,-3.56%,4.0,40,51.07%,Call,2023-12-15,162
AMZN231215C00132000,2023-12-08 10:42AM EST,132.0,14.3,14.6,14.95,-1.55,-9.78%,15.0,170,49.22%,Call,2023-12-15,163
AMZN231215C00133000,2023-12-07 2:16PM EST,133.0,13.75,13.65,13.85,-0.35,-2.48%,4.0,103,42.87%,Call,2023-12-15,164
AMZN231215C00135000,2023-12-08 10:42AM EST,135.0,11.37,11.7,11.85,-0.63,-5.25%,132.0,32033,37.60%,Call,2023-12-15,166
AMZN231215C00136000,2023-12-08 10:11AM EST,136.0,10.87,10.8,10.95,-0.91,-7.72%,8.0,419,38.14%,Call,2023-12-15,167
AMZN231215C00137000,2023-12-08 10:40AM EST,137.0,9.45,9.75,9.95,-0.45,-4.55%,19.0,286,35.30%,Call,2023-12-15,168
AMZN231215C00138000,2023-12-08 10:39AM EST,138.0,8.49,8.85,9.0,-0.46,-5.14%,37.0,447,33.74%,Call,2023-12-15,169
AMZN231215C00139000,2023-12-08 10:25AM EST,139.0,7.65,7.95,8.1,-0.7,-8.38%,32.0,248,33.06%,Call,2023-12-15,170
AMZN231215C00140000,2023-12-08 10:37AM EST,140.0,6.79,6.95,7.1,-0.51,-6.99%,156.0,26048,29.93%,Call,2023-12-15,171
AMZN231215C00141000,2023-12-08 10:46AM EST,141.0,5.92,6.1,6.25,-0.23,-3.74%,59.0,805,29.54%,Call,2023-12-15,172
AMZN231215C00142000,2023-12-08 10:46AM EST,142.0,5.15,5.25,5.4,-0.28,-5.16%,74.0,1290,28.52%,Call,2023-12-15,173
AMZN231215C00143000,2023-12-08 10:36AM EST,143.0,4.4,4.4,4.5,-0.24,-5.17%,261.0,2462,26.29%,Call,2023-12-15,174
AMZN231215C00144000,2023-12-08 10:54AM EST,144.0,3.8,3.75,3.85,-0.25,-6.17%,1166.0,2314,26.98%,Call,2023-12-15,175
AMZN231215C00145000,2023-12-08 10:54AM EST,145.0,3.12,3.1,3.2,-0.32,-9.30%,4005.0,31435,26.78%,Call,2023-12-15,176
AMZN231215C00146000,2023-12-08 10:54AM EST,146.0,2.54,2.52,2.55,-0.31,-10.88%,6831.0,4248,25.83%,Call,2023-12-15,177
AMZN231215C00147000,2023-12-08 10:54AM EST,147.0,2.04,2.0,2.01,-0.24,-10.53%,8058.0,8209,25.37%,Call,2023-12-15,178
AMZN231215C00148000,2023-12-08 10:54AM EST,148.0,1.58,1.57,1.59,-0.28,-15.05%,4107.0,8426,25.46%,Call,2023-12-15,179
AMZN231215C00149000,2023-12-08 10:54AM EST,149.0,1.22,1.21,1.22,-0.21,-14.69%,5029.0,4316,25.34%,Call,2023-12-15,180
AMZN231215C00150000,2023-12-08 10:55AM EST,150.0,0.91,0.92,0.93,-0.21,-18.75%,7675.0,45758,25.42%,Call,2023-12-15,181
AMZN231215C00152500,2023-12-08 10:54AM EST,152.5,0.43,0.43,0.44,-0.15,-25.86%,1501.0,7227,25.64%,Call,2023-12-15,182
AMZN231215C00155000,2023-12-08 10:49AM EST,155.0,0.2,0.2,0.21,-0.08,-28.57%,1212.0,27928,26.56%,Call,2023-12-15,183
AMZN231215C00157500,2023-12-08 10:39AM EST,157.5,0.09,0.1,0.1,-0.05,-35.71%,1074.0,3769,27.64%,Call,2023-12-15,184
AMZN231215C00160000,2023-12-08 10:46AM EST,160.0,0.05,0.05,0.06,-0.04,-44.44%,564.0,24016,29.79%,Call,2023-12-15,185
AMZN231215C00162500,2023-12-08 10:48AM EST,162.5,0.04,0.03,0.04,-0.01,-20.00%,71.0,1674,32.23%,Call,2023-12-15,186
AMZN231215C00165000,2023-12-08 10:32AM EST,165.0,0.03,0.02,0.03,-0.01,-25.00%,129.0,7640,34.77%,Call,2023-12-15,187
AMZN231215C00167500,2023-12-08 10:35AM EST,167.5,0.02,0.01,0.02,0.0,-,1863.0,349,36.72%,Call,2023-12-15,188
AMZN231215C00170000,2023-12-07 12:56PM EST,170.0,0.02,0.01,0.02,0.0,-,2217.0,17654,40.23%,Call,2023-12-15,189
AMZN231215C00172500,2023-12-07 12:19PM EST,172.5,0.02,0.01,0.02,0.0,-,900.0,1044,43.75%,Call,2023-12-15,190
AMZN231215C00175000,2023-12-08 10:36AM EST,175.0,0.01,0.01,0.02,-0.01,-50.00%,1098.0,7719,46.88%,Call,2023-12-15,191
AMZN231215C00177500,2023-12-08 10:02AM EST,177.5,0.01,0.0,0.01,0.0,-,1372.0,1908,46.88%,Call,2023-12-15,192
AMZN231215C00180000,2023-12-07 3:30PM EST,180.0,0.01,0.0,0.01,0.0,-,1811.0,7133,50.00%,Call,2023-12-15,193
AMZN231215C00182500,2023-12-05 3:25PM EST,182.5,0.01,0.0,0.01,0.0,-,697.0,1013,50.00%,Call,2023-12-15,194
AMZN231215C00185000,2023-12-05 3:52PM EST,185.0,0.01,0.0,0.01,0.0,-,511.0,2346,53.13%,Call,2023-12-15,195
AMZN231215C00190000,2023-12-04 10:07AM EST,190.0,0.01,0.0,0.01,0.0,-,80.0,2970,57.81%,Call,2023-12-15,196
AMZN231215C00195000,2023-12-01 3:57PM EST,195.0,0.01,0.0,0.01,0.0,-,941.0,3298,62.50%,Call,2023-12-15,197
AMZN231215C00200000,2023-12-07 12:33PM EST,200.0,0.01,0.0,0.01,0.0,-,13.0,1648,68.75%,Call,2023-12-15,198
AMZN231215C00205000,2023-11-20 9:55AM EST,205.0,0.02,0.0,0.01,0.0,-,30.0,909,71.88%,Call,2023-12-15,199
AMZN231215P00065000,2023-11-29 12:32PM EST,65.0,0.01,0.0,0.01,0.0,-,10.0,442,175.00%,Put,2023-12-15,201
AMZN231215P00070000,2023-11-09 2:47PM EST,70.0,0.01,0.0,0.01,0.0,-,60.0,2003,156.25%,Put,2023-12-15,202
AMZN231215P00080000,2023-12-06 11:14AM EST,80.0,0.01,0.0,0.01,0.0,-,14.0,3717,131.25%,Put,2023-12-15,204
AMZN231215P00085000,2023-12-04 11:02AM EST,85.0,0.01,0.0,0.01,0.0,-,10.0,2775,118.75%,Put,2023-12-15,205
AMZN231215P00107000,2023-12-01 2:44PM EST,107.0,0.01,0.0,0.01,0.0,-,515.0,562,71.88%,Put,2023-12-15,210
AMZN231215P00110000,2023-12-07 10:29AM EST,110.0,0.01,0.0,0.01,0.0,-,13.0,19040,65.63%,Put,2023-12-15,213
AMZN231215P00112000,2023-12-07 2:11PM EST,112.0,0.01,0.0,0.01,0.0,-,100.0,217,60.94%,Put,2023-12-15,215
AMZN231215P00114000,2023-12-07 2:57PM EST,114.0,0.01,0.01,0.01,0.0,-,217.0,241,60.94%,Put,2023-12-15,217
AMZN231215P00115000,2023-12-08 10:52AM EST,115.0,0.01,0.0,0.01,0.0,-,17.0,25652,56.25%,Put,2023-12-15,218
AMZN231215P00116000,2023-12-08 10:52AM EST,116.0,0.01,0.0,0.01,-0.01,-50.00%,145.0,4266,53.13%,Put,2023-12-15,219
AMZN231215P00117000,2023-12-08 9:42AM EST,117.0,0.01,0.0,0.01,-0.01,-50.00%,9694.0,1308,51.56%,Put,2023-12-15,220
AMZN231215P00118000,2023-12-08 10:51AM EST,118.0,0.01,0.0,0.01,-0.01,-50.00%,121.0,1327,50.00%,Put,2023-12-15,221
AMZN231215P00119000,2023-12-08 10:02AM EST,119.0,0.01,0.01,0.02,0.0,-,9.0,154,53.91%,Put,2023-12-15,222
AMZN231215P00120000,2023-12-08 10:41AM EST,120.0,0.01,0.01,0.02,-0.01,-50.00%,42.0,53255,52.34%,Put,2023-12-15,223
AMZN231215P00123000,2023-12-07 12:36PM EST,123.0,0.02,0.01,0.02,0.0,-,10.0,680,47.66%,Put,2023-12-15,226
AMZN231215P00124000,2023-12-08 9:42AM EST,124.0,0.02,0.02,0.03,0.0,-,70.0,338,48.05%,Put,2023-12-15,227
AMZN231215P00125000,2023-12-08 10:52AM EST,125.0,0.02,0.02,0.03,-0.01,-33.33%,55.0,23309,46.09%,Put,2023-12-15,228
AMZN231215P00126000,2023-12-08 10:24AM EST,126.0,0.03,0.02,0.03,0.0,-,15.0,349,44.14%,Put,2023-12-15,229
AMZN231215P00127000,2023-12-08 10:15AM EST,127.0,0.03,0.02,0.03,-0.01,-25.00%,19.0,779,41.80%,Put,2023-12-15,230
AMZN231215P00128000,2023-12-08 10:14AM EST,128.0,0.03,0.03,0.04,-0.01,-25.00%,25.0,757,41.41%,Put,2023-12-15,231
AMZN231215P00129000,2023-12-08 9:31AM EST,129.0,0.03,0.03,0.04,-0.01,-25.00%,11.0,1097,39.45%,Put,2023-12-15,232
AMZN231215P00130000,2023-12-08 10:52AM EST,130.0,0.04,0.04,0.05,-0.01,-20.00%,331.0,36765,38.48%,Put,2023-12-15,233
AMZN231215P00131000,2023-12-07 12:55PM EST,131.0,0.05,0.04,0.05,-0.01,-16.67%,5.0,1983,36.33%,Put,2023-12-15,234
